Top Tracks (all time) - 09-11-2020 23:18
biggest gain: #39 - Better - ZAYN (+4)
biggest loss: #10 - Salt - Ava Max (-2)

#01 - Familiar - Liam Payne, J Balvin (0)
#02 - Ritual - Tiësto, Jonas Blue, Rita Ora (0)
#03 - Slow - Liam Payne (0)
#04 - First Time - Liam Payne, French Montana (0)
#05 - Stack It Up (feat. A Boogie Wit da Hoodie) - Liam Payne, A Boogie Wit da Hoodie (0)
#06 - Polaroid - Jonas Blue, Liam Payne, Lennon Stella (0)
#07 - The Man - Taylor Swift (0)
#08 - Get Low (with Liam Payne) - Zedd, Liam Payne (+1)
#09 - Levitating - Dua Lipa (+2)
#10 - Salt - Ava Max (-2)
#11 - Used to This - Camila Cabello (-1)
#12 - Love Again - Dua Lipa (0)
#13 - Home With You - Liam Payne (0)
#14 - Levitating (feat. DaBaby) - Dua Lipa, DaBaby (0)
#15 - Find U Again (feat. Camila Cabello) - Mark Ronson, Camila Cabello (0)
#16 - My Oh My (feat. DaBaby) - Camila Cabello, DaBaby (0)
#17 - Midnight (feat. Liam Payne) - Alesso, Liam Payne (0)
#18 - No Judgement - Niall Horan (0)
#19 - In Your Eyes - The Weeknd (+2)
#20 - What I Like About You (feat. Theresa Rex) - Jonas Blue, Theresa Rex (-1)
#21 - ily (i love you baby) (feat. Emilee) - Surf Mesa, Emilee (-1)
#22 - Kings & Queens - Ava Max (0)
#23 - no tears left to cry - Ariana Grande (0)
#24 - Like It Is - Kygo, Zara Larsson, Tyga (0)
#25 - Remember - Liam Payne (0)
#26 - Save Your Tears - The Weeknd (0)
#27 - One More Time - Daft Punk (0)
#28 - For You (Fifty Shades Freed) (& Rita Ora) - Liam Payne, Rita Ora (0)
#29 - High Life - Daft Punk (0)
#30 - boyfriend (with Social House) - Ariana Grande, Social House (0)
#31 - Rain On Me (with Ariana Grande) - Lady Gaga, Ariana Grande (+1)
#32 - Polaroid - Zac Samuel Remix - Jonas Blue, Liam Payne, Lennon Stella, Zac Samuel (-1)
#33 - Younger - Jonas Blue, HRVY (0)
#34 - Liar - Camila Cabello (0)
#35 - Say My Name - David Guetta, Bebe Rexha, J Balvin (0)
#36 - Señorita - Shawn Mendes, Camila Cabello (0)
#37 - Be Kind (with Halsey) - Marshmello, Halsey (0)
#38 - Love Me Harder - Ariana Grande, The Weeknd (+1)
#39 - Better - ZAYN (+4)
#40 - Con Altura - ROSAL�?A, J Balvin, El Guincho (-2)
#41 - Mother's Daughter - Miley Cyrus (-1)
#42 - Let It Be Me (feat. Ava Max) - David Guetta, Ava Max (-1)
#43 - Torn - Ava Max (-1)
#44 - Remember - Liam Payne (0)
#45 - Dance Again - Selena Gomez (0)
#46 - break up with your girlfriend, i'm bored - Ariana Grande (0)
#47 - Heartbreak Weather - Niall Horan (0)
#48 - Nice To Meet Ya - Niall Horan (0)
#49 - NASA - Ariana Grande (0)
#50 - Small Talk - Niall Horan (0)
